 ime,open,high,low,close,Volume
2025-02-10 10:24:00,529.63,529.75,529.39,529.42,7081
2025-02-10 10:25:00,529.41,529.46,529.27,529.46,5173
2025-02-10 10:26:00,529.49,529.61,529.43,529.53,5109
2025-02-10 10:27:00,529.53,529.57,529.51,529.57,5814
2025-02-10 10:28:00,529.6,529.85,529.6,529.72,10316
2025-02-10 10:29:00,529.74,529.74,529.48,529.62,14746
2025-02-10 10:30:00,529.65,529.83,529.64,529.78,12669
2025-02-10 10:31:00,529.81,529.85,529.66,529.66,3686
2025-02-10 10:32:00,529.68,529.81,529.68,529.81,5361
2025-02-10 10:33:00,529.76,529.88,529.73,529.86,4005
2025-02-10 10:34:00,529.87,529.94,529.7,529.77,13911
2025-02-10 10:35:00,529.8,529.96,529.77,529.94,6033
2025-02-10 10:36:00,529.93,530.02,529.8,529.81,18762
2025-02-10 10:37:00,529.81,529.96,529.75,529.9,6153
2025-02-10 10:38:00,529.9,529.94,529.79,529.86,8629
2025-02-10 10:39:00,529.87,530.03,529.87,529.92,12890
2025-02-10 10:40:00,529.91,530.12,529.9,530.06,13823
2025-02-10 10:41:00,530.07,530.18,530.02,530.1,7852
2025-02-10 10:42:00,530.09,530.09,529.74,529.75,5921
2025-02-10 10:43:00,529.75,529.93,529.74,529.79,7845
2025-02-10 10:44:00,529.8,529.97,529.8,529.92,6044
2025-02-10 10:45:00,529.93,530.2,529.89,530.12,17549
2025-02-10 10:46:00,530.08,530.16,529.97,530.14,30880
2025-02-10 10:47:00,530.13,530.18,530.08,530.18,12664
2025-02-10 10:48:00,530.19,530.36,530.18,530.2,14220
2025-02-10 10:49:00,530.2,530.2,529.98,530.07,3180
2025-02-10 10:50:00,530.09,530.11,529.85,529.96,4565
2025-02-10 10:51:00,529.96,529.97,529.71,529.75,3623
2025-02-10 10:52:00,529.76,529.89,529.75,529.77,7054
2025-02-10 10:53:00,529.78,529.86,529.57,529.68,10044
2025-02-10 10:54:00,529.71,529.87,529.71,529.76,6142
2025-02-10 10:55:00,529.8,529.93,529.79,529.87,7787
2025-02-10 10:56:00,529.87,529.89,529.69,529.72,8988
2025-02-10 10:57:00,529.73,529.79,529.67,529.7,2591
2025-02-10 10:58:00,529.71,529.935,529.71,529.86,3719
2025-02-10 10:59:00,529.86,529.94,529.62,529.67,4119
2025-02-10 11:00:00,529.74,530.07,529.74,530,8122
2025-02-10 11:01:00,530.05,530.17,529.86,530.01,3802
2025-02-10 11:02:00,529.99,530.07,529.94,529.98,3531
2025-02-10 11:03:00,529.99,530.03,529.92,530.01,4473
2025-02-10 11:04:00,530.02,530.04,529.87,529.95,3887
2025-02-10 11:05:00,529.945,529.945,529.65,529.65,7015
2025-02-10 11:06:00,529.69,529.93,529.64,529.9,7375
2025-02-10 11:07:00,529.89,529.89,529.69,529.69,8074
2025-02-10 11:08:00,529.69,529.69,529.47,529.51,4833
2025-02-10 11:09:00,529.52,529.67,529.52,529.66,4786
2025-02-10 11:10:00,529.67,529.85,529.67,529.77,6035
2025-02-10 11:11:00,529.78,529.94,529.76,529.92,9892
2025-02-10 11:12:00,529.93,530.03,529.86,529.88,5004
2025-02-10 11:13:00,529.9,529.9,529.65,529.75,1552
2025-02-10 11:14:00,529.75,529.81,529.68,529.81,3353
2025-02-10 11:15:00,529.8,529.85,529.44,529.46,24158
2025-02-10 11:16:00,529.48,529.6,529.47,529.59,5224
2025-02-10 11:17:00,529.59,529.67,529.55,529.65,2832
2025-02-10 11:18:00,529.54,529.62,529.43,529.5,6677
2025-02-10 11:19:00,529.51,529.51,529.25,529.38,15005
2025-02-10 11:20:00,529.38,529.48,529.32,529.45,4896
2025-02-10 11:21:00,529.43,529.43,529.18,529.2,4810
2025-02-10 11:22:00,529.18,529.35,529.18,529.35,2517
2025-02-10 11:23:00,529.34,529.41,529.21,529.31,3612
2025-02-10 11:24:00,529.305,529.58,529.305,529.53,3260
2025-02-10 11:25:00,529.58,529.74,529.44,529.51,2687
2025-02-10 11:26:00,529.54,529.56,529.4,529.4,352
2025-02-10 11:27:00,529.4,529.63,529.37,529.63,1814
